minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
930,-0.0189,0.052,200,-5.1514,-0.0283,0.0604,200,-6.6341
931,-0.0232,0.0475,200,-6.9012,-0.0223,0.0631,200,-4.9904
932,-0.0184,0.0452,200,-5.7413,-0.0149,0.0683,200,-3.0934
933,-0.0202,0.0512,200,-5.5922,-0.0206,0.0676,200,-4.3104
934,-0.015,0.053,200,-3.9908,-0.0196,0.069,200,-4.0087
935,-0.0131,0.0464,200,-3.9888,-0.0131,0.0627,200,-2.9533
936,-0.0111,0.0468,200,-3.3619,-0.0067,0.06,200,-1.5887
937,-0.0134,0.0439,200,-4.3052,-0.0081,0.0621,200,-1.8459
938,-0.0128,0.0508,200,-3.5592,-0.002,0.0607,200,-0.469
939,-0.0119,0.0493,200,-3.4186,-0.0081,0.0615,200,-1.8523
940,-0.0101,0.0557,200,-2.5754,-0.0111,0.0673,200,-2.3253
941,-0.0032,0.0452,200,-1.0108,-0.0074,0.0652,200,-1.5954
942,-0.0044,0.0508,200,-1.2176,-0.0034,0.0635,200,-0.7572
943,-0.0088,0.0548,200,-2.2749,-0.0071,0.0682,200,-1.4774
944,-0.0135,0.0497,200,-3.8432,-0.0059,0.0607,200,-1.3698
945,-0.0086,0.0543,200,-2.2355,-0.008,0.0638,200,-1.7635
946,-0.0156,0.0471,200,-4.6806,-0.0139,0.063,200,-3.1231
947,-0.0023,0.0508,200,-0.6465,-0.0122,0.062,200,-2.7765
948,-0.0125,0.0509,200,-3.4585,-0.0136,0.0643,200,-2.9936
949,-0.0094,0.0528,200,-2.515,-0.0148,0.0639,200,-3.287
950,-0.0055,0.0534,200,-1.4472,-0.0131,0.0617,200,-3.0106
951,-0.0116,0.0491,200,-3.3462,-0.0052,0.0615,200,-1.2057
952,-0.0094,0.0586,200,-2.2708,-0.0033,0.0652,200,-0.7098
953,-0.0111,0.0541,200,-2.8929,-0.0042,0.0645,200,-0.9149
954,-0.0127,0.055,200,-3.2594,-0.0012,0.0652,200,-0.2692
955,-0.0062,0.0503,200,-1.7458,-0.0007,0.0634,200,-0.1544
956,-0.0099,0.0519,200,-2.6924,-0.0048,0.0624,200,-1.0821
957,-0.0071,0.0485,200,-2.0833,-0.0007,0.0616,200,-0.1516
958,-0.0075,0.0459,200,-2.3002,-0.0038,0.0659,200,-0.8258
959,-0.0099,0.0449,200,-3.1057,-0.0005,0.056,200,-0.1179
1000,-0.0039,0.0527,200,-1.0512,-0.0026,0.0648,200,-0.569
1001,-0.0076,0.0486,200,-2.2151,0.0017,0.062,200,0.3771
1002,-0.0095,0.0474,200,-2.8351,-0.002,0.0607,200,-0.4727
1003,-0.0074,0.0556,200,-1.8909,0.0008,0.0608,200,0.1919
1004,-0.0123,0.0504,200,-3.4603,-0.0021,0.0591,200,-0.5113
1005,-0.0082,0.0487,200,-2.3731,-0.0038,0.0665,200,-0.8192
1006,-0.0035,0.0495,200,-0.9854,-0.0015,0.0647,200,-0.3344
1007,-0.0093,0.0495,200,-2.6608,-0.0008,0.0594,200,-0.1814
1008,-0.0029,0.0585,200,-0.7072,-0.0007,0.0593,200,-0.1624
1009,-0.0119,0.0583,200,-2.8989,-0.0039,0.061,200,-0.8965
1010,-0.0085,0.0462,200,-2.6029,-0.0004,0.065,200,-0.0801
1011,-0.0148,0.0531,200,-3.9456,-0.0003,0.0618,200,-0.0582
1012,-0.0045,0.0509,200,-1.2421,-0.0029,0.0619,200,-0.6609
1013,-0.0206,0.0496,200,-5.8756,-0.0135,0.0653,200,-2.9202
1014,-0.0114,0.0556,200,-2.8911,-0.0075,0.0641,200,-1.6525
1015,-0.0062,0.0485,200,-1.7984,-0.0065,0.0645,200,-1.4175
1016,-0.0088,0.0486,200,-2.5624,-0.0051,0.0645,200,-1.1198
1017,-0.0101,0.0521,200,-2.7521,-0.0096,0.0619,200,-2.1985
1018,-0.0161,0.0499,200,-4.5455,-0.0158,0.0598,200,-3.7312
1019,-0.0138,0.0526,200,-3.726,-0.0139,0.0639,200,-3.0732
1020,-0.0085,0.0544,200,-2.2214,-0.0036,0.057,200,-0.884
1021,-0.0028,0.0514,200,-0.763,-0.0059,0.0624,200,-1.3371
1022,-0.0097,0.0525,200,-2.6122,-0.0095,0.0643,200,-2.0848
1023,-0.0088,0.0539,200,-2.295,-0.0108,0.0658,200,-2.3331
1024,-0.0084,0.0475,200,-2.5099,-0.009,0.061,200,-2.0753
